,parent,grandparent,sibling,cousin,parent_in_law,nephew,friend,partner,child,child_in_law,grandparent_in_law,sibling_in_law,acquaintant,colleague,grandson,uncle_aunt
parent,0,2,3,4,1,5,5,5,5,5,3,3,4,5,5,4
grandparent,,0,4,4,2,5,5,5,5,5,0,4,3,5,5,3
sibling,,,0,1,5,3,1,4,4,5,5,1,5,5,5,3
cousin,,,,0,4,3,2,5,5,5,5,3,4,4,5,2
parent_in_law,,,,,0,5,5,5,5,5,1,3,3,5,5,3
nephew,,,,,,0,4,5,1,3,5,4,5,5,2,3
friend,,,,,,,0,4,5,5,5,1,3,2,5,3
partner,,,,,,,,0,5,5,5,5,5,5,5,5
child,,,,,,,,,0,1,5,4,5,5,2,5
child_in_law,,,,,,,,,,0,5,3,5,5,4,4
grandparent_in_law,,,,,,,,,,,0,5,3,4,5,4
sibling_in_law,,,,,,,,,,,,0,3,3,5,2
acquaintant,,,,,,,,,,,,,0,2,5,4
colleague,,,,,,,,,,,,,,0,5,3
grandson,,,,,,,,,,,,,,,0,5
uncle_aunt,,,,,,,,,,,,,,,,0
